"shortdescription","regex","attemptregex"
"HW2-#1e: NFA to REX","((a|b)a*ba)*(((a|b)a*b)?)","(((a|b)a*ba)*|((a|b)a*b))*"
"HW2-#1e: NFA to REX","((a|b)a*ba)*(((a|b)a*b)?)","((a|b)a*(ba|b))*"
"HW2-#1e: NFA to REX","((a|b)a*ba)*(((a|b)a*b)?)","((a|b)a*ba)*|((a|b)a*b)*"
"HW2-#1e: NFA to REX","((a|b)a*ba)*(((a|b)a*b)?)","((a|b)a*ba)*|((a|b)a*b)"
"A valid comment (Sipser 1.22b)","/#(/|a|b|##*(a|b))*##*/","/#(a|b)*#/"
"A valid comment (Sipser 1.22b)","/#(/|a|b|##*(a|b))*##*/","/#(a|b|/)*#/"
"A valid comment (Sipser 1.22b)","/#(/|a|b|##*(a|b))*##*/","/#(a|b|/|#)*#/"
"A valid comment (Sipser 1.22b)","/#(/|a|b|##*(a|b))*##*/","/#(a|b|/|#+(a|b))*#+/"
"HW2-#1e: NFA to REX","((a|b)a*ba)*(((a|b)a*b)?)","((a|b)a*b(a(a|b)a*b)*(a?))?"
"HW2-#1e: NFA to REX","((a|b)a*ba)*(((a|b)a*b)?)","(((a|b)a*b))|((a|b)a*ba)"
"HW2-#1e: NFA to REX","((a|b)a*ba)*(((a|b)a*b)?)","((((a|b)a*b))|((a|b)a*ba))*"
"HW2-#1e: NFA to REX","((a|b)a*ba)*(((a|b)a*b)?)","((a|b)a*ba)*((a|b)a*b)?"
"HW2-#1e: NFA to REX","((a|b)a*ba)*(((a|b)a*b)?)","((((a|b)a*ba))|((a|b)a*b))*"
"A valid comment (Sipser 1.22b)","/#(/|a|b|##*(a|b))*##*/","/#(a|b|(/a)|(/b)|(/#)|#)*#/"
"A valid comment (Sipser 1.22b)","/#(/|a|b|##*(a|b))*##*/","/#(a|b|#|/)*#/"
"A valid comment (Sipser 1.22b)","/#(/|a|b|##*(a|b))*##*/","/#(a|b|/|(#*(a|b)))*#/"
"A valid comment (Sipser 1.22b)","/#(/|a|b|##*(a|b))*##*/","/#*(a|b|/|(#*(a|b)))*#*/"
"HW2-#1e: NFA to REX","((a|b)a*ba)*(((a|b)a*b)?)","(((a|b)a*b)(a(a|b)a*ba)*)?"
"non isolated 'b'","(a|(b*bb))*","(a|bb*)*"
"non isolated 'b'","(a|(b*bb))*","(a|(bb*))*"
"non isolated 'b'","(a|(b*bb))*","(a|(bbb*))*"
"A valid comment (Sipser 1.22b)","/#(/|a|b|##*(a|b))*##*/","/#((a|b|/)*#*(a|b)*)*#/"
"A valid comment (Sipser 1.22b)","/#(/|a|b|##*(a|b))*##*/","/#((a|b|/)*|(#*(a|b)))*#*/"
"A valid comment (Sipser 1.22b)","/#(/|a|b|##*(a|b))*##*/","/#((a|b|/)*|(#*(a|b)))*#*#/"
"A valid comment (Sipser 1.22b)","/#(/|a|b|##*(a|b))*##*/","/#(a|b)*#/"
"HW2-#1e: NFA to REX","((a|b)a*ba)*(((a|b)a*b)?)","((a|b)(a|bb|ba(a|b))*(b|ba))?"
"HW2-#1e: NFA to REX","((a|b)a*ba)*(((a|b)a*b)?)","((a|b)a*ba)*((a|b)a*b)*"
"HW2-#1e: NFA to REX","((a|b)a*ba)*(((a|b)a*b)?)","((a|b)a*ba)*|((a|b)a*ba)*((a|b)a*b)"
"A valid comment (Sipser 1.22b)","/#(/|a|b|##*(a|b))*##*/","/#(a|b)*#/"
"A valid comment (Sipser 1.22b)","/#(/|a|b|##*(a|b))*##*/","/#(a|b)*#/"
"A valid comment (Sipser 1.22b)","/#(/|a|b|##*(a|b))*##*/","/#((a|b|/#|/)?)*#/"
"A valid comment (Sipser 1.22b)","/#(/|a|b|##*(a|b))*##*/","/#((a|b|#|/)?)*#/"
"A valid comment (Sipser 1.22b)","/#(/|a|b|##*(a|b))*##*/","/#(a|b|/|(#*(a|b)))*#+/"
"non isolated 'b'","(a|(b*bb))*","a*(bb)*a*"
"non isolated 'b'","(a|(b*bb))*","a*(bbb*)*a*"
"non isolated 'b'","(a|(b*bb))*","a*(bbb*)*a*(bbb*)*a*"
"non isolated 'b'","(a|(b*bb))*","(a*(bbb*)*a*)*"
"HW2-#1e: NFA to REX","((a|b)a*ba)*(((a|b)a*b)?)","((a|b)a*ba)*(a|((a|b)a*b))"
"non isolated 'b'","(a|(b*bb))*","(a*(bbb*)a*)*"
"HW2-#1e: NFA to REX","((a|b)a*ba)*(((a|b)a*b)?)","((a|b)(a*b)a)*((a|b)(a*b))"
"HW2-#1e: NFA to REX","((a|b)a*ba)*(((a|b)a*b)?)","((a|b)(a*b)a)*((a|b)(a*b))?"
"non isolated 'b'","(a|(b*bb))*","(a+bbb*)*"
"HW2-#1e: NFA to REX","((a|b)a*ba)*(((a|b)a*b)?)","((a|b)a*b)(a?)"
"HW2-#1e: NFA to REX","((a|b)a*ba)*(((a|b)a*b)?)","(((a|b)a*b)(a?))?"
"non isolated 'b'","(a|(b*bb))*","(a+bbb)*"
"non isolated 'b'","(a|(b*bb))*","(a+bb)*"
"non isolated 'b'","(a|(b*bb))*","(bb+a)*"
"non isolated 'b'","(a|(b*bb))*","(a+bb*)*"
"non isolated 'b'","(a|(b*bb))*","(a+bbb*)*"
"non isolated 'b'","(a|(b*bb))*","(a*(bbb*)*a*)*"
"non isolated 'b'","(a|(b*bb))*","(a*(bbb*)*)*"
"non isolated 'b'","(a|(b*bb))*","(a+bbb*)*"
"non isolated 'b'","(a|(b*bb))*","(a|bbb*)*"
"first and third","a(a|b)a(a|b)*","(a(a+b)a)*"
"first and third","a(a|b)a(a|b)*","(a(a|b)a)*"
"first and third","a(a|b)a(a|b)*","(a(a|b)a(a+b)*)*"
"first and third","a(a|b)a(a|b)*","(a(a|b)a(a|b)*)*"
"first and third","a(a|b)a(a|b)*","a(a|b)a(a|b)*"
"even prefix","(ab|ba)*","((ab)|(ba))*((a|b)(a|b))*"
"even prefix","(ab|ba)*","((ab)|(ba))*((a|b)(a|b))"
"even prefix","(ab|ba)*","((ab)|(ba))*((a|b)(a|b))*"
"even prefix","(ab|ba)*","((ab)|(ba))*"
"A valid comment (Sipser 1.22b)","/#(/|a|b|##*(a|b))*##*/","/#(a|b|/)*(/#)*(a|b|#)*#/"
"even prefix","(ab|ba)*","((ab)|(ba))*((a|b)(b|a))*"
"even prefix","(ab|ba)*","((ab)|(ba))*"
"contains 'bab'","(a|b)*(bab)(a|b)*","(a|b)*bab(a|b)*"
"HW2-#1e: NFA to REX","((a|b)a*ba)*(((a|b)a*b)?)","(((a|b)ba)*(a|b)a*b)?"
"A valid comment (Sipser 1.22b)","/#(/|a|b|##*(a|b))*##*/","/#(a|b|#a|#b|a/|b/)*#/"
"A valid comment (Sipser 1.22b)","/#(/|a|b|##*(a|b))*##*/","/#(a|b|#a|#b|/)*#/"
"A valid comment (Sipser 1.22b)","/#(/|a|b|##*(a|b))*##*/","/#(a|b|#a|#b|/|#?)*#/"
"A valid comment (Sipser 1.22b)","/#(/|a|b|##*(a|b))*##*/","/#(a|b|/|(#*(a|b)))*#/"
"A valid comment (Sipser 1.22b)","/#(/|a|b|##*(a|b))*##*/","/#(a|b|/|(#*(a|b)))*#+/"
"HW2-#1e: NFA to REX","((a|b)a*ba)*(((a|b)a*b)?)","(((a|b)(a*))(b|ba))*"
"HW2-#1e: NFA to REX","((a|b)a*ba)*(((a|b)a*b)?)","(((a|b)(a*))(ba))*(((a|b)(a*))(b|ba))*"
"HW2-#1e: NFA to REX","((a|b)a*ba)*(((a|b)a*b)?)","(((a|b)(a*))(ba))*(((a|b)(a*))(b|ba))*"
"HW2-#1e: NFA to REX","((a|b)a*ba)*(((a|b)a*b)?)","(((a|b)a*ba(a|b)|(a|b))(ba(a|b)|a)*ba|((a|b)a*ba))*(((a|b)a*ba(a|b)|(a|b))(ba(a|b)|a)*b|((a|b)a*b?))"
"HW2-#1e: NFA to REX","((a|b)a*ba)*(((a|b)a*b)?)","((a|b)a*ba)*(((a|b)a*b)?)"
"HW2-#1e: NFA to REX","((a|b)a*ba)*(((a|b)a*b)?)","((a|b)a*ba)*((a|b)a*b)?"
"A valid comment (Sipser 1.22b)","/#(/|a|b|##*(a|b))*##*/","/#((a|b|/|##*(a|b))*|#*)#/"
"first and third","a(a|b)a(a|b)*","(aaa|aba)(a+b)"
"first and third","a(a|b)a(a|b)*","(aaa|aba)b"
"first and third","a(a|b)a(a|b)*","(aaa|aba)b+(aaa|aba)a"
"first and third","a(a|b)a(a|b)*","(aaa|aba)b|(aaa|aba)a"
"HW2-#1e: NFA to REX","((a|b)a*ba)*(((a|b)a*b)?)","((a|b)a*ba)*((a|b)a*b)?"
"A valid comment (Sipser 1.22b)","/#(/|a|b|##*(a|b))*##*/","/#/*(a|b|#|(a|b)/*)*#/"
"HW2-#1e: NFA to REX","((a|b)a*ba)*(((a|b)a*b)?)","((a|b)a*ba)*"
"HW2-#1e: NFA to REX","((a|b)a*ba)*(((a|b)a*b)?)","((a|b)a*ba)*((b|a)a*b)"
"HW2-#1e: NFA to REX","((a|b)a*ba)*(((a|b)a*b)?)","((a|b)a*ba)*((b|a)a*b)?"
"HW2-#1e: NFA to REX","((a|b)a*ba)*(((a|b)a*b)?)","(((a|b)a*ba)*)|((a|b)a*b)"
"HW2-#1e: NFA to REX","((a|b)a*ba)*(((a|b)a*b)?)","(((a|b)a*ba)*)|(((a|b)a*b)?)"
"A valid comment (Sipser 1.22b)","/#(/|a|b|##*(a|b))*##*/","/#(a|b)*#/"
"A valid comment (Sipser 1.22b)","/#(/|a|b|##*(a|b))*##*/","/#(a|b|/)*#/"
"HW2-#1e: NFA to REX","((a|b)a*ba)*(((a|b)a*b)?)","(((a|b)a*ba)*)((a|b)a*b)?"
"HW2-#1e: NFA to REX","((a|b)a*ba)*(((a|b)a*b)?)","((a|b)a*ba*)*"
"HW2-#1e: NFA to REX","((a|b)a*ba)*(((a|b)a*b)?)","((a|b)a*b+a*)*"
"HW2-#1e: NFA to REX","((a|b)a*ba)*(((a|b)a*b)?)","((a|b)a*b+a)*((a|b)a*b+)?"
"A valid comment (Sipser 1.22b)","/#(/|a|b|##*(a|b))*##*/","/#((##*(a|b))*|(a|b|/)*)*##*/"
"HW2-#1e: NFA to REX","((a|b)a*ba)*(((a|b)a*b)?)","((a|b)a*ba)*|(((a|b)a*ba)*((a|b)a*b))"
"A valid comment (Sipser 1.22b)","/#(/|a|b|##*(a|b))*##*/","/#(a|b)*#/"
"HW2-#1e: NFA to REX","((a|b)a*ba)*(((a|b)a*b)?)","(a|b)a*b "
"A valid comment (Sipser 1.22b)","/#(/|a|b|##*(a|b))*##*/","/#(a|b)*#/"
"A valid comment (Sipser 1.22b)","/#(/|a|b|##*(a|b))*##*/","/#(a|b|/|(##*(a|b)))*#/"
"A valid comment (Sipser 1.22b)","/#(/|a|b|##*(a|b))*##*/","/#((a|b|/|(##*(a|b)))*|#*)#/"
"HW2-#1e: NFA to REX","((a|b)a*ba)*(((a|b)a*b)?)","((a|b)(a*b)(a(a|b)a*b)*(a?))?"
"A valid comment (Sipser 1.22b)","/#(/|a|b|##*(a|b))*##*/","/#((a|b|/)|(##*(a|b)))*##*/"
"HW2-#1e: NFA to REX","((a|b)a*ba)*(((a|b)a*b)?)","(((a|b)a*b)((a|b)a*ba)*)?"
"A valid comment (Sipser 1.22b)","/#(/|a|b|##*(a|b))*##*/","(/#(a|b)*#/)*"
"HW2-#1e: NFA to REX","((a|b)a*ba)*(((a|b)a*b)?)","(((a|b)a*b)(a(a|b)a*b))?"
"HW2-#1e: NFA to REX","((a|b)a*ba)*(((a|b)a*b)?)","(((a|b)a*b)(a(a|b)a*b)*)?"
"A valid comment (Sipser 1.22b)","/#(/|a|b|##*(a|b))*##*/","#((a|b|/|##*(a|b))*|#*)#/"
"A valid comment (Sipser 1.22b)","/#(/|a|b|##*(a|b))*##*/","(/#((a|b|/)#*)*#/)*"
"A valid comment (Sipser 1.22b)","/#(/|a|b|##*(a|b))*##*/","(/#((a|b|/)*#*)*#/)*"
"HW2-#1e: NFA to REX","((a|b)a*ba)*(((a|b)a*b)?)","((a|b)a*b(a?))*"
"A valid comment (Sipser 1.22b)","/#(/|a|b|##*(a|b))*##*/","(/#)|((a|b|/?)|#)|(#/)"
"A valid comment (Sipser 1.22b)","/#(/|a|b|##*(a|b))*##*/","(/#)|((a|b|/?)|#)*|(#/)"
"A valid comment (Sipser 1.22b)","/#(/|a|b|##*(a|b))*##*/","(/#)((a|b|/?)|#)*(#/)"
"HW2-#1e: NFA to REX","((a|b)a*ba)*(((a|b)a*b)?)","((aa*ba?)|(ba*ba?))*"
"A valid comment (Sipser 1.22b)","/#(/|a|b|##*(a|b))*##*/","/#(a|b|/|#*a|#*b)*(#)*#/"
"HW2-#1e: NFA to REX","((a|b)a*ba)*(((a|b)a*b)?)","((a|b)a*ba)*"
"HW2-#1e: NFA to REX","((a|b)a*ba)*(((a|b)a*b)?)","((a|b)a*b(a?))*"
"A valid comment (Sipser 1.22b)","/#(/|a|b|##*(a|b))*##*/","/#(a|b|/|#)*#/"
"HW2-#1e: NFA to REX","((a|b)a*ba)*(((a|b)a*b)?)","(((a|b)a*b)a*)*"
"HW2-#1e: NFA to REX","((a|b)a*ba)*(((a|b)a*b)?)","((a|b)a*b)*(a|b)a*ba"
"HW2-#1e: NFA to REX","((a|b)a*ba)*(((a|b)a*b)?)","((a|b)a*ba)*((a|b)a*b)?"
"A valid comment (Sipser 1.22b)","/#(/|a|b|##*(a|b))*##*/","/#(a|b|/)*(/#)*(#*(a|b))*/*(a|b|#)*#/"
"A valid comment (Sipser 1.22b)","/#(/|a|b|##*(a|b))*##*/","/#(#*(a|b))*(a|b|/)*(#*(a|b))*(/#)*(#*(a|b))*/*(a|b|#)*(#*(a|b))*#/"
"HW2-#1e: NFA to REX","((a|b)a*ba)*(((a|b)a*b)?)","(((a|b)a*ba)*((a|b)a*b))?|(((a|b)a*ba)*)"
"A valid comment (Sipser 1.22b)","/#(/|a|b|##*(a|b))*##*/","/#(a|b|/)*(/#)*(#*(a|b))*/*(a|b|#)*#/"
"HW2-#1e: NFA to REX","((a|b)a*ba)*(((a|b)a*b)?)","(((a|b)a*ba)*((a|b)a*b))?|(((a|b)a*ba)*)"
"HW2-#1e: NFA to REX","((a|b)a*ba)*(((a|b)a*b)?)","(((a|b)a*ba)*((a|b)a*b))?|(((a|b)a*ba)*)"
"HW2-#1e: NFA to REX","((a|b)a*ba)*(((a|b)a*b)?)","((a|b)a*ba)*"
"HW2-#1e: NFA to REX","((a|b)a*ba)*(((a|b)a*b)?)","(a|b)(a*b|b|ba|a*ba)"
"HW2-#1e: NFA to REX","((a|b)a*ba)*(((a|b)a*b)?)","(a|b?)(a*b|b|ba|a*ba)"
"A valid comment (Sipser 1.22b)","/#(/|a|b|##*(a|b))*##*/","/#(a?b?|a*b*)*#/"
"A valid comment (Sipser 1.22b)","/#(/|a|b|##*(a|b))*##*/","/#(a*b*)*#/"
"A valid comment (Sipser 1.22b)","/#(/|a|b|##*(a|b))*##*/","/#(a|b|/)*(/#)*(#*(a|b))*/*(a|b|#)*#/"
"HW2-#1e: NFA to REX","((a|b)a*ba)*(((a|b)a*b)?)","(((a|ba*b)*a)*)?"
"HW2-#1e: NFA to REX","((a|b)a*ba)*(((a|b)a*b)?)","((((a|b)a*b)*a)*)?"
"A valid comment (Sipser 1.22b)","/#(/|a|b|##*(a|b))*##*/","/#(a|b|/|#)*#/"
"A valid comment (Sipser 1.22b)","/#(/|a|b|##*(a|b))*##*/","/#(a|b|/)*|(##*(a|b))*#/"
"A valid comment (Sipser 1.22b)","/#(/|a|b|##*(a|b))*##*/","/#((a|b|#(a|b))|(a|b|/))*#/"
"A valid comment (Sipser 1.22b)","/#(/|a|b|##*(a|b))*##*/","/#((a|b|#*(a|b))|(a|b|/))*#/"
"HW2-#1e: NFA to REX","((a|b)a*ba)*(((a|b)a*b)?)","((a|b)(a*b|a*ba))?"
"A valid comment (Sipser 1.22b)","/#(/|a|b|##*(a|b))*##*/","/#((a|b|#(a|b|#))|(a|b|/))*#/"
"A valid comment (Sipser 1.22b)","/#(/|a|b|##*(a|b))*##*/","/#((a|b|#*(a|b))|(a|b|/))*#/"
"A valid comment (Sipser 1.22b)","/#(/|a|b|##*(a|b))*##*/","/#((a|b|#(a|b|#))|(a|b|/))*#/"
"A valid comment (Sipser 1.22b)","/#(/|a|b|##*(a|b))*##*/","/#(#*(a|b))*(a|b|/)*(#*(a|b))*(/#)*(#*(a|b))*/*(a|b|#)*(#*(a|b))*#/"
"HW2-#1e: NFA to REX","((a|b)a*ba)*(((a|b)a*b)?)","(a|b)(a|ba(a|b))*(b|ba)?"
"HW2-#1e: NFA to REX","((a|b)a*ba)*(((a|b)a*b)?)","((((a|b)a*b)a)*)|((a|b)a*b)"
"HW2-#1e: NFA to REX","((a|b)a*ba)*(((a|b)a*b)?)","(((a|b)a*ba)*((a|b)a*b))?|(((a|b)a*ba)*)"
"A valid comment (Sipser 1.22b)","/#(/|a|b|##*(a|b))*##*/","/#(/|#*a|#*b)*#+/"
"A valid comment (Sipser 1.22b)","/#(/|a|b|##*(a|b))*##*/","/#(a|b|/|(#*(a|b)))*#/"
"A valid comment (Sipser 1.22b)","/#(/|a|b|##*(a|b))*##*/","/#(a|b|/|(#*(a|b)))*#/"
"HW2-#1e: NFA to REX","((a|b)a*ba)*(((a|b)a*b)?)","(a|b)a*b(a|b)"
"HW2-#1e: NFA to REX","((a|b)a*ba)*(((a|b)a*b)?)","(a|b)?a*b(a|b)"
"HW2-#1e: NFA to REX","((a|b)a*ba)*(((a|b)a*b)?)","(a|b)a*b(a(a|b)a*b)"
"non isolated 'b'","(a|(b*bb))*","(a|bb)*"
"non isolated 'b'","(a|(b*bb))*","(a|b*bb*)*"
"non isolated 'b'","(a|(b*bb))*","(a|b*bbb*)*"
"even prefix","(ab|ba)*","(ab|ba)*"
"first and third","a(a|b)a(a|b)*","a(a|b)a(a|b)*"
"contains 'bab'","(a|b)*(bab)(a|b)*","(a|b)*bab(a|b)*"
"non isolated 'b'","(a|(b*bb))*","bb"
"non isolated 'b'","(a|(b*bb))*","bb+"
"non isolated 'b'","(a|(b*bb))*","bbb*"
"At least one a followed by one b","a+b ","a+b"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","(a|b)(a|b)+(a|b)*aaa"
"Every b followed by two or more a's","(a|baa)*","(a|b|baa+)*"
"Every b followed by two or more a's","(a|baa)*","(a|baa)*"
"HW2-#1e: NFA to REX","((a|b)a*ba)*(((a|b)a*b)?)","(a|b)(a|bb|ba(a|b))*(b|ba)"
"Odd number of b's","(a*ba*b)*a*ba*","(a*ba*ba*)*(a*ba*)"
"HW2-#1e: NFA to REX","((a|b)a*ba)*(((a|b)a*b)?)","(a|b)?(a|ba(a|b))*(b|ba)"
"first and third","a(a|b)a(a|b)*","a(a+b)a(a+b)*"
"first and third","a(a|b)a(a|b)*","a(a|b)a(a+b)*"
"first and third","a(a|b)a(a|b)*","a(a+b)a(a+b)*"
"A valid comment (Sipser 1.22b)","/#(/|a|b|##*(a|b))*##*/","/#(a|b)*#/"
"A valid comment (Sipser 1.22b)","/#(/|a|b|##*(a|b))*##*/","/#(a|b|/)*#/"
"A valid comment (Sipser 1.22b)","/#(/|a|b|##*(a|b))*##*/","/#(ab)*#/"
"A valid comment (Sipser 1.22b)","/#(/|a|b|##*(a|b))*##*/","/#(a|b)*#/"
"A valid comment (Sipser 1.22b)","/#(/|a|b|##*(a|b))*##*/","/#(a|b)#/"
"HW2-#1e: NFA to REX","((a|b)a*ba)*(((a|b)a*b)?)","((a|b)a*b)|((a|b)a*ba)?"
"HW2-#1e: NFA to REX","((a|b)a*ba)*(((a|b)a*b)?)","(((a|b)a*b)|((a|b)a*ba))*"
"HW2-#1e: NFA to REX","((a|b)a*ba)*(((a|b)a*b)?)","(a|b)?(a|ba(a|b))*(b|ba)"
"non isolated 'b'","(a|(b*bb))*",""
"non isolated 'b'","(a|(b*bb))*","(a|b)*b*b|bb*(a|b)*"
"non isolated 'b'","(a|(b*bb))*","b*b|bb*"
"non isolated 'b'","(a|(b*bb))*","b*bb*"
"non isolated 'b'","(a|(b*bb))*","(a|b)*b*bb*(a|b)*"
"non isolated 'b'","(a|(b*bb))*","(a|b)*b*b(a|b)*|(a|b)*bb*(a|b)*"
"non isolated 'b'","(a|(b*bb))*","(a|b)*b*b(a|b)*|(a|b)*bb*(a|b)*"
"non isolated 'b'","(a|(b*bb))*","b*b(a|b)*|(a|b)*bb*"
"non isolated 'b'","(a|(b*bb))*","(b?)*b(a|b)*|(a|b)*b(b?)*"
"non isolated 'b'","(a|(b*bb))*","(ba*b)*"
"non isolated 'b'","(a|(b*bb))*","(a*b)*"
"non isolated 'b'","(a|(b*bb))*","(a|b)*b*(a|b)*"
"non isolated 'b'","(a|(b*bb))*","(b?)*b*(b?)*"
"non isolated 'b'","(a|(b*bb))*","b*a*b*a*b*"
"non isolated 'b'","(a|(b*bb))*","b*a*ba*b*"
"non isolated 'b'","(a|(b*bb))*","b*a*(b?)*a*b*"
"non isolated 'b'","(a|(b*bb))*","(a|bbb*)*"
"non isolated 'b'","(a|(b*bb))*","(a|bbb*)*"
"non isolated 'b'","(a|(b*bb))*","(a|bbb*)*"
"even prefix","(ab|ba)*","(ab|ba)*"
"first and third","a(a|b)a(a|b)*","a(a|b)a(a|b)*"
"contains 'bab'","(a|b)*(bab)(a|b)*","(a|b)*bab(a|b)*"
"non isolated 'b'","(a|(b*bb))*","(a*bba*)*"
"non isolated 'b'","(a|(b*bb))*","(a*bba*)*"
"non isolated 'b'","(a|(b*bb))*","(a*(bb)*a*)*"
"non isolated 'b'","(a|(b*bb))*","(a*b(b+)*a*)*"
"non isolated 'b'","(a|(b*bb))*","(a*(bb)*a*)*"
"non isolated 'b'","(a|(b*bb))*","(a*b(b+)a*)*"
"non isolated 'b'","(a|(b*bb))*","(a*(b(b+))*a*)*"
"even prefix","(ab|ba)*","(ab)*"
"even prefix","(ab|ba)*","(ab)*|(ba)*"
"even prefix","(ab|ba)*","((ab)*(ba)*)*"
"first and third","a(a|b)a(a|b)*","a(a|b)a(a|b)*"
"contains 'bab'","(a|b)*(bab)(a|b)*","(a|b)*bab(a|b)*"
"first and third","a(a|b)a(a|b)*","a(a+b)a(a+b)*"
"first and third","a(a|b)a(a|b)*","a(a|b)a(a|b)*"
"contains 'bab'","(a|b)*(bab)(a|b)*","(a|b)*(bab)*(a|b)*"
"contains 'bab'","(a|b)*(bab)(a|b)*","(a|b|bab)*"
"contains 'bab'","(a|b)*(bab)(a|b)*","(a+b+bab)*"
"contains 'bab'","(a|b)*(bab)(a|b)*","(a|b)*bab(a|b)*"
"At least one a followed by one b","a+b ","a+b"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","[ab]{2,}a{3}"
"Every b followed by two or more a's","(a|baa)*","(a+|(b{1}a{2,})+)+"
"even prefix","(ab|ba)*","(aa+ab+ba+bb)*"
"even prefix","(ab|ba)*","(aa|ab|ba|bb)*"
"even prefix","(ab|ba)*","((aa)|(ab)|(ba)|(bb))*"
"non isolated 'b'","(a|(b*bb))*","(a*((bb)*|(bbb)*)*a*)a*"
"non isolated 'b'","(a|(b*bb))*","(a*((bb)*|(bbb)*)*a*)*"
"even prefix","(ab|ba)*","((aa)|(bb)|(ab)|(ba))*"
"first and third","a(a|b)a(a|b)*","a(a|b)a(a|b)*"
"contains 'bab'","(a|b)*(bab)(a|b)*","(a|b)*(bab)(a|b)*"
"even prefix","(ab|ba)*","(ab|aabb|ba|bbaa)*"
"even prefix","(ab|ba)*","(ab|ba)*"
"non isolated 'b'","(a|(b*bb))*","(a|b)*bb(a|b)*"
"non isolated 'b'","(a|(b*bb))*","(a|b)*bb*(a|b)*"
"non isolated 'b'","(a|(b*bb))*","(a)*bb*(a)*"
"non isolated 'b'","(a|(b*bb))*","(a)*bb(a)*"
"non isolated 'b'","(a|(b*bb))*","(bb)*(a|b)*(bb)*"
"non isolated 'b'","(a|(b*bb))*","(bb)*(a)*(bb)*"
"non isolated 'b'","(a|(b*bb))*","(bb)*(ab)*(bb)*"
"non isolated 'b'","(a|(b*bb))*","(bb)*(a)*(bb)*"
"non isolated 'b'","(a|(b*bb))*","(bb)*(a|bb)*(bb)*"
"non isolated 'b'","(a|(b*bb))*","(bb)*(a|bbb)*(bb)*"
"non isolated 'b'","(a|(b*bb))*","(a|bb)*(a|bbb)*(a|bb)*"
"non isolated 'b'","(a|(b*bb))*","(a|bb|bbb)*(a|bbb|bb)*(a|bb|bbb)*"
"even prefix","(ab|ba)*","(aa|bb)*"
"even prefix","(ab|ba)*","(aa|bb|ab)*"
"even prefix","(ab|ba)*","(aa|bb|ab|ba)*"
"even prefix","(ab|ba)*","(aa|bb|ab|ba)*(aa|bb|ab|ba)*"
"even prefix","(ab|ba)*","(aa|bb|ab|ba)*(aa|bb)*"
"even prefix","(ab|ba)*","(aa|bb|ab|ba)*"
"even prefix","(ab|ba)*","(ab|ba)*(aa|bb)*"
"even prefix","(ab|ba)*","(ab|ba)*"
"first and third","a(a|b)a(a|b)*","a(a|b)(a|b)a(a|b)*"
"first and third","a(a|b)a(a|b)*","a(a|b)a(a|b)*"
"contains 'bab'","(a|b)*(bab)(a|b)*","(a|b)*bab(a|b)*"
"non isolated 'b'","(a|(b*bb))*","(a+b|b)*"
"non isolated 'b'","(a|(b*bb))*","(a|b+b)*"
"non isolated 'b'","(a|(b*bb))*","(a|b+b)*"
"even prefix","(ab|ba)*","(a+b)*|(b+a)*"
"even prefix","(ab|ba)*","(a+b|b+a)*"
"even prefix","(ab|ba)*","(ab|ba)*"
"first and third","a(a|b)a(a|b)*","aaa|(a+b)*|aba(a+b)*"
"first and third","a(a|b)a(a|b)*","aaa(a+b)*|aba(a+b)*"
"first and third","a(a|b)a(a|b)*","(aaa(a+b)*)|(aba(a+b)*)"
"first and third","a(a|b)a(a|b)*","(aaa(a|b)*)|(aba(a|b)*)"
"contains 'bab'","(a|b)*(bab)(a|b)*","(a|b)*(bab)(a|b)*"
"At least one a followed by one b","a+b ","a(a*)b"
"Every b followed by two or more a's","(a|baa)*","a*(baaa*)*"
"even prefix","(ab|ba)*","(ab|ba)*"
"non isolated 'b'","(a|(b*bb))*","((bb(b)*)|a)*"
"At least one a followed by one b","a+b ","(a*b)"
"At least one a followed by one b","a+b ","(aa*b)"
"At least one a followed by one b","a+b ","aa*b"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","(a*b){3}aaa"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","(ab|aaa)"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","(ab|aaa)*"
"Every b followed by two or more a's","(a|baa)*","a*(baa*)*"
"Odd number of b's","(a*ba*b)*a*ba*","a*(baaa*)*"
"Every b followed by two or more a's","(a|baa)*","a*(baaa*)*"
"Every b followed by two or more a's","(a|baa)*","a*(baaa*)*"
"Odd number of b's","(a*ba*b)*a*ba*","(a*ba*)*"
"Odd number of b's","(a*ba*b)*a*ba*","(a*ba*)*"
"Odd number of b's","(a*ba*b)*a*ba*","(b*)a*"
"Odd number of b's","(a*ba*b)*a*ba*","b((a*ba*)(a*ba*))*"
"Odd number of b's","(a*ba*b)*a*ba*","(aa)*ba(bb)*"
"Odd number of b's","(a*ba*b)*a*ba*","a*b((a*ba*)(a*ba*))*"
"Odd number of b's","(a*ba*b)*a*ba*","a*b((a*ba*)(a*ba*))*a*"
"Odd number of b's","(a*ba*b)*a*ba*","a*b((a*ba*)(a*ba*))*a*"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","(aa|ab|ba|bb)a*b*aaaa*"
